Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ae_caus_studyproc_txt_v3b,ae_sae_form_imd_within_ce_label,,descriptive,"<div style=""width: 101.5%; background-color: #cdcdcd; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px;"">
<h6><span style=""color: #0864cc;"">Causality assessment to investigation procedure</span></h6>
</div>",,,,,,,[ae_seriousae_v2] = '1' AND [ae_caus_caus_v2] = '2' or [ae_caus_caus_v2] = '3' or [ae_caus_caus_v2] = '4',,,,,,"@IF(([user-role-label] <> 'Coordinating Investigator(multiple sites)) ,@READONLY, ''))"
ae_caus_studyproc_v3,ae_sae_form_imd_within_ce_label,,radio,Causality to investigation procedure?,"1, Yes | 2, No | 4, Not applicable",Investigation procedure = a study-specific procedure performed outside the standard of care related to the use of the IMD or comparator Multicentrumvariant; de enkelcentrumvariant is verwijderd.,,,,,[ae_seriousae_v2] = '1' AND [ae_caus_caus_v2] = '2' or [ae_caus_caus_v2] = '3' or [ae_caus_caus_v2] = '4' or [ae_caus_studyproc_v2] = '1',y,,,,,"@IF(([user-role-label] <> 'Coordinating Investigator(multiple sites)) ,@READONLY, ''))"
ae_versie_txt_v2_dd,device_deficiency_dd_form,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
sect_event_dd,device_deficiency_dd_form,"<div class=""rich-text-field-label""><p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""text-decoration: underline;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: Arial, sans-serif; color: black; text-decoration: underline;""><span style=""color: #e03e2d; text-decoration: underline;"">Definition of 'Device Deficiency' (DD):</span></span></strong></span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""color: #000000;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: Arial, sans-serif;"">A DD is any in the identity, quality, durability, reliability, safety or performance of an investigational device, including malfunction, use errors or inadequacy in information supplied by the manufacturer</span></strong></span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""color: #0864cc;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: Arial, sans-serif;"">Reportable events:</span></strong></span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""color: #000000;""><span lang=""EN-US"" style=""font-size: 11.5pt; font-family: Arial, sans-serif;"">Any device deficiency that might have led to a serious adverse event if: <br />- appropriate action had not been taken, <br />- intervention had not occured, <br />- circumstances had been less fortunate<br />should be reported to the Competent Authority within strict timelines. <br /></span></span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""> </p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: 'Arial',sans-serif; mso-fareast-font-family: 'Arial'; mso-bidi-font-family: 'Arial'; color: black; mso-ansi-language: EN-US; mso-fareast-language: NL-BE;"">Materiovigilance: SAEs and incidents concerning a CE marked device that meet the vigilance reporting criteria need to be reported according to the vigilance provisions. <br /> </span></strong></p> <p style=""margin-left: 35.4pt; text-align: justify;"">    </p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""> </p></div>",descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;"">Event</span></h5></div>",,,,,,,,,,,,,
note_3_dev,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;""><span style=""color: #e03e2d; text-decoration: underline;"">Note to eCRF developer:</span></span></p> <p><span style=""color: #e03e2d;"">The use of the following field ""<span style=""text-decoration: underline;"">Device name / ID number""</span> is project specific and should be designed in <span style=""text-decoration: underline;"">compliance with the study protocol</span>.</span></p> <p><span style=""color: #e03e2d;"">Delete this work field, before going to production!!</span></p></div>",,,,,,,,,,,,,
dev_nr_dd,device_deficiency_dd_form,,text,Device name / ID number,,,,,,,,y,LH,,,,
description_dd,device_deficiency_dd_form,,notes,Describe Event or deficiency,,,,,,,,y,LH,,,,
sect_startdt_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;""><span style=""font-weight: normal;"">Start</span> date and time</span></h5> <p><em><span style=""color: #0864cc;"">(If onset time is unknown, enter time of first notice)</span></em></p></div>",,,,,,,,,,,,,
startdate_dd,device_deficiency_dd_form,,text,Start date,,Day-Month-Year,date_dmy,,,,,y,RH,,,,
startdate_time_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 55.9722px;"" border=""1""> <tbody> <tr style=""height: 38.1944px;""> <td style=""width: 30.8347%; border-style: hidden; height: 38.1944px;""> <p>Start date</p> <p>{startdate_dd}</p> </td> <td style=""width: 69.1658%; border-style: hidden; height: 38.1944px;"">{startdate_unk_dd}</td> </tr> <tr> <td style=""width: 30.8347%; border-style: hidden;""> <p>{starttime_dd}</p> </td> <td style=""width: 69.1658%; border-style: hidden;""> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
starttime_dd,device_deficiency_dd_form,,text,"<div class=""rich-text-field-label""><p>Start time (if applicable)<br /><em><span style=""color: #0864cc;"">(If onset time is unknown, enter time of first notice)</span></em></p></div>",,Time (HH-MM),time,,,,[startdate_dd] <> '',,,,,,
startdate_unk_dd,device_deficiency_dd_form,,radio,"<div class=""rich-text-field-label""><p>Start date unknown</p></div>","1, Start date unknown",,,,,,[startdate_dd] = '',,,,,,"@IF(([startdate_dd] <> '') ,@READONLY, ''))"
sect_stopdt_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;""><span style=""font-weight: normal;"">Stop </span>date and time</span></h5></div>",,,,,,,,,,,,,
stopdate_time_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 55.9722px;"" border=""1""> <tbody> <tr style=""height: 38.1944px;""> <td style=""width: 30.8347%; border-style: hidden; height: 38.1944px;""> <p>Stop date</p> <p>{stopdate_dd}</p> </td> <td style=""width: 69.1658%; border-style: hidden; height: 38.1944px;"">{stopdate_unk_dd}</td> </tr> <tr> <td style=""width: 30.8347%; border-style: hidden;""> <p>{stoptime_dd}</p> </td> <td style=""width: 69.1658%; border-style: hidden;""> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
stopdate_dd,device_deficiency_dd_form,,text,Stop date,,Day-Month-Year,date_dmy,,,,,,,,,,
stoptime_dd,device_deficiency_dd_form,,text,"Stop time 
(If applicable)",,Time (HH-MM),time,,,,[stopdate_dd] <> '',,,,,,
stopdate_unk_dd,device_deficiency_dd_form,,radio,Stop date,"1, Ongoing",,,,,,[stopdate_dd] = '',,,,,,
sect_origin_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;"">Origin of device deficiency</span></h5></div>",,,,,,,,,,,,,
origin_dd,device_deficiency_dd_form,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #0864cc;"">Origin of device defiency</span></p></div>","1, Mechanical | 2, Electronic | 3, Software | 4, Other",,,,,,,y,,,,,
origin_oth_dd,device_deficiency_dd_form,,text,Specify 'Other',,,,,,,[origin_dd(4)] = '1',,,,,,
origin_type_dd,device_deficiency_dd_form,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #0864cc;"">Type of deficiency</span></p></div>","1, Use error | 2, Inadequate instructions | 3, Device malfunction | 4, Unknown | 5, Not applicable | 6, Other",,,,,,,,,,,,
oth_origin_type_dd,device_deficiency_dd_form,,text,Specify 'Other',,,,,,,[origin_type_dd(6)] = '1',,,,,,
sect_action_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;"">Action taken</span></h5> <p style=""text-align: center;""> </p></div>",,,,,,,,,,,,,
action_dd,device_deficiency_dd_form,,checkbox,"<div class=""rich-text-field-label""><p>Action taken<br /><span style=""color: #0864cc;""><em>(Multiple actions possible, tick all applicable)</em></span></p></div>","1, None | 2, Use of device temporarily interrupted | 3, Visit termination | 4, Resolved deficiency | 5, partially resolved | 6, Other",,,,,,,,,,,,
oth_action_dd,device_deficiency_dd_form,,text,Specify 'Other' action taken,,,,,,,[action_dd(6)] = '1',,,,,,
outcome_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;"">Outcome</span></h5> <p style=""text-align: center;""> </p></div>",,,,,,,,,,,,,
outcome_cat_dd,device_deficiency_dd_form,,checkbox,Outcome,"1, No impact on protocol | 2, AE | 3, SAE | 4, Visit termination | 5, Other",,,,,,,,,,,,
oth_outcome_cat_dd,device_deficiency_dd_form,,text,Specify 'Other' outcome,,,,,,,[outcome_cat_dd(5)] = '1',,,,,,
txt_link_ae,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><p>Please complete (S)AE page<br />via het event AE SAE</p></div>",,,,,,,[outcome_cat_dd(2)] = '1' or [outcome_cat_dd(3)] = '1',,,,,,
sect_report_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #0864cc;"">Reportable event</span></h5> <p style=""text-align: left;""><span style=""color: #0864cc;"">(Only to be completed for the investigational device, check materiovigilance for comparator !!)</span></p> <p style=""text-align: center;""> </p></div>",,,,,,,,,,,,,
report_dd,device_deficiency_dd_form,,yesno,"<div class=""rich-text-field-label""><p>Might the DD have led to an SAE if:</p> <ul> <li>Appropriate action had not been taken?</li> <li>Intervention had not occurred?</li> <li>Circumstances had been less fortunate?</li> </ul></div>",,,,,,,,,RH,,,,
note_4_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h6><span style=""color: #0864cc;"">It </span><span style=""color: #0864cc;"">is the responsibility of the Principal Investigator or Investigator to validate the above entered information by ticking the box below.</span></h6></div>",,,,,,,[report_dd] = '1',,,,,,"@IF([user-role-label] = 'Principal Investigator' , '', 
@IF([user-role-label] = 'Investigator' , '' , @READONLY))"
txt_val_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><h4 style=""text-align: center;"">Report validated </h4></div>",,,,,,,[report_dd] = '1',,,,,,"@IF([user-role-label] = 'Principal Investigator' , '', 
@IF([user-role-label] = 'Investigator' , '' , @READONLY))"
meddev_ae_med_conf_dd,device_deficiency_dd_form,,checkbox,"<div class=""rich-text-field-label""></div>","1, By ticking this box I certify the availability of relevant source data, demonstrating that this safety event has been reviewed by a qualified medical doctor.",,,,,,[report_dd] = '1',,LH,,,,"@IF([user-role-label] = 'Principal Investigator' , '', 
@IF([user-role-label] = 'Investigator' , '' , @READONLY))"
txtx_guidance,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Guidance for Sponsor: Please report <span style=""text-decoration: underline;"">DD (reportable event) for investigational device</span> to competent authorities (=CA) according to applicable guidelines.</span></p></div>",,,,,,,[report_dd] = '1',,,,,,"@IF(([user-role-label] <> 'Coordinating Investigator(multiple sites)) ,@READONLY, ''))"
note_5_dev_dd,device_deficiency_dd_form,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Note to eCRF developer:</span><br><br><span style=""color: #e03e2d;"">Edit Alert  ""Template - Device deficiency reporting"" (</span><span style=""color: #e03e2d;"">See 'Alerts and Notifications'). </span></p> <p><span style=""color: #e03e2d;"">Update the email field for sponsor/sponsor team/monitor and the S-nr of the study. Test thoroughly</span><br><br><span style=""color: #e03e2d;"">Delete this work field, before going to production!!</span></p></div>",,,,,,,,,,,,,
version_dev,deviation_serious_breach_log_capa,,descriptive,Version: CR PM-TMP-006-3.1_07Sep2023,,,,,,,,,,,,,
txt_descr_vlog,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""><u>DESCRIPTION:</u><br /> <p><strong> Provide a <span style=""text-decoration: underline;"">brief description of the finding</span>. Additional supporting documentation may be supplied.</strong></p> <p> </p> </div></div>",,,,,,,,,,,,,
txt_description_dblog,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""> <p><strong style=""color: #e03e2d;"">PROTOCOL DEVIATION:</strong></p> <p><span style=""color: #0864cc;""><strong>MINOR:</strong></span> <span style=""font-weight: normal;"">A minor protocol deviation occurs when, without significant consequences, the activities on a study diverge from the Ethics Committee (EC)-approved protocol (e.g. missing a routine follow-up visit window because the subject is traveling). A minor deviation does not impact study endpoints, data quality, integrity and/or the rights, safety or well-being of the subject(s) and does not invalidate or compromise the study results. </span></p> <p><strong><span style=""color: #0864cc;"">MAJOR</span>: </strong><span style=""font-weight: normal;"">A major protocol deviation is defined as a departure from the protocol that materially (a) reduces the quality, integrity or completeness of the data, (b) makes the Informed Consent Form inaccurate or invalid, or (c) impacts a subject' safety, rights, or wellbeing, or (d) has an impact on the study endpoints.<br>In case of a major protocol deviation, </span>a <strong>root cause evaluation </strong>must be performed and a <strong>CAPA (Corrective Action Preventive Action) <span style=""font-weight: normal;"">plan </span></strong><span style=""font-weight: normal;"">must be completed and signed.</span></p> <p><span style=""font-weight: normal;""><strong>Examples </strong></span><strong>of major protocol deviations may include the following:</strong></p> <p><span style=""font-weight: normal;"">- Inadequate or missing informed consent - Inclusion/exclusion criteria not met </span><br><span style=""font-weight: normal;"">- Missing/late reporting of serious adverse events </span><br><span style=""font-weight: normal;"">- Improper/unauthorized unblinding </span><br><span style=""font-weight: normal;"">- Use of prohibited medication </span><br><span style=""font-weight: normal;"">- Incorrect or missing tests (in case critical tests are linked to eligibility or primary endpoint) </span><br><span style=""font-weight: normal;"">- Mishandled samples which may compromise subject eligibility or primary study/safety endpoints </span><br><span style=""font-weight: normal;"">- Multiple missed or out of window visits </span><br><span style=""font-weight: normal;"">- Intentional departure from protocol </span><br><span style=""font-weight: normal;"">- Repeated non-compliance with study requirements (as such, the accumulation of recurring and/or systematic minor protocol deviations, may be qualified as a major protocol deviation)</span></p> </div></div>",,,,,,,,,,,,,
descr_vlog,deviation_serious_breach_log_capa,,notes,Description of non-compliance,,,,,,,,y,LV,,,,
db_log,deviation_serious_breach_log_capa,,radio,Minor Deviation or Major Deviation?,"1, Minor Deviation | 2, Major Deviation",,,,,,,y,RH,,,,
tbl_dlog_2,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.016%; height: 108.337px;"" border=""1""> <tbody> <tr style=""height: 28.8542px;""> <td style=""width: 99.9859%; height: 28.8542px;"" colspan=""2""><span style=""color: #0864cc;"">DEVIATION</span></td> </tr> <tr style=""height: 36.8438px;""> <td style=""width: 27.903%; height: 36.8438px;""><span style=""color: #0864cc;"">Categories:</span></td> <td style=""width: 72.0828%; height: 36.8438px;""><span style=""color: #0864cc;"">Code (only for category A, B, C and D)</span></td> </tr> <tr style=""height: 42.6389px;""> <td style=""width: 27.903%; height: 42.6389px;"">{cat_dlog}{oth_cat_dlog}</td> <td style=""width: 72.0828%; height: 42.6389px;"">{saf_dcode}{oth_saf_dcode}{ic_dcode}{oth_ic_dcode}{elig_dcode}{oth_elig_dcode}{prot_dcode}{oth_prot_dcode}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
cat_dlog,deviation_serious_breach_log_capa,,radio,Deviation categories,"1, A. Subject safety/wellbeing | 2, B. Informed Consent | 3, C. Eligibility | 4, D. Protocol implementation | 5, E. Subject rights (e.g. GDPR) | 6, F. Study endpoints | 7, G. Other",,,,,,,,LV,,,,
oth_cat_dlog,deviation_serious_breach_log_capa,,text,specify 'other',,,,,,,[cat_dlog] = '7',,,,,,
saf_dcode,deviation_serious_breach_log_capa,,radio,,"1, 1. Not reporting an SAE within hours | 2, 2. Laboratory tests not done | 3, 3. Relevant safety information is not reported to EC/CA | 4, 4. Other",,,,,,[db_log] = '1',,LV,,,,
oth_saf_dcode,deviation_serious_breach_log_capa,,text,Specify 'Other',,,,,,,[saf_dcode] = '4',,RH,,,,
ic_dcode,deviation_serious_breach_log_capa,,radio,,"1, 5. Failure to obtain informed consent | 2, 6. Consent form used was not current EC-approved version | 3, 7. Consent form missing | 4, 8. Consent form not signed and dated by participant | 5, 9. Consent form does not contain all required signatures | 6, 10. Consent form does not contain all required dates | 7, 11. Other",,,,,,[cat_dlog] = '2',,LV,,,,
oth_ic_dcode,deviation_serious_breach_log_capa,,text,Specify other,,,,,,,[ic_dcode] = '7',,LV,,,,
elig_dcode,deviation_serious_breach_log_capa,,radio,,"1, 12. Participant did not meet one or more in- and /or exclusion criteria | 2, 13. Participant randomized prior to completing Baseline Assessment, etc. | 3, 14. Enrolment of participant prior to EC and /or regulatory approval of the protocol | 4, 15. Other",,,,,,[cat_dlog] = '3',,LV,,,,
oth_elig_dcode,deviation_serious_breach_log_capa,,text,Specify other,,,,,,,[elig_dcode] = '4',,LV,,,,
prot_dcode,deviation_serious_breach_log_capa,,radio,,"1, 16. Implemented version of protocol was not approved by EC | 2, 17. Most current EC-approval version of the protocol has not been implemented | 3, 18. Participant receives wrong treatment | 4, 19. Participant seen outside visit window | 5, 20. Use of prohibited concomitant treatment | 6, 21. Prescribed dosing outside protocol guidelines | 7, 22. Missed assessment | 8, 23. Missed visit | 9, 24. Other",,,,,,[cat_dlog] = '4',,LV,,,,
oth_prot_dcode,deviation_serious_breach_log_capa,,text,Specify other,,,,,,,[prot_dcode] = '9',,LV,,,,
date_dlog,deviation_serious_breach_log_capa,,text,Date Deviation occured,,(dd-mm-yyyy),date_dmy,,,,,y,LH,,,,
txt_ec,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""> <strong>When the<span style=""color: #e03e2d;""> safety </span>of the patient  (potentially) has been compromised, the <span style=""color: #e03e2d;"">EC</span> should immediately be notified.</strong> All other deviations have to be reported in the annual progress report to EC and/or regulatory authorities (as applicable).</div></div>",,,,,,,[db_log] = '2',,,,,,
tbl_ec_dslog,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 27.0699%;"">{date_ec_dslog}</td> <td style=""width: 72.9301%;"">{na_ec_dslog}</td> </tr> </tbody> </table></div>",,,,,,,[db_log] = '2',,,,,,
date_ec_dslog,deviation_serious_breach_log_capa,,text,"<div class=""rich-text-field-label""><p>Date EC notified <br /><em>(as applicable)</em></p></div>",,,date_dmy,,,,[db_log] = '2',,LH,,,,
na_ec_dslog,deviation_serious_breach_log_capa,,radio,"<div class=""rich-text-field-label""></div>","1, Not applicable (safety not compromised)",,,,,,[db_log] = '2',,LH,,,,
txt_capa,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""> <h4 style=""background-color: #ffffe0; text-align: center;""><strong>CAPA</strong></h4> <h5 style=""background-color: #ffffe0; text-align: center;""><strong>Corrective Action and Preventive Action Form</strong></h5> <div style=""background-color: #ffffe0; text-align: center;"">In case a <span style=""text-decoration: underline;"">major protocol deviation/serious breach</span> occured, a root cause analysis should be performed and a CAPA plan should be defined and documented.</div> </div></div>",,,,,,,[db_log] = '2',,,,,,
txt_root_capa,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""><span style=""font-weight: normal;""> Provide a brief </span>description of the reason why or how the deviation/serious breach has occured<span style=""font-weight: normal;"">. Apply the ""5 Why's"" technique to determine the ultimate reason why the incident occurred.</span></div></div>",,,,,,,[db_log] = '2',,,,,,
root_capa,deviation_serious_breach_log_capa,,notes,Root cause evaluation,,,,,,,[db_log] = '2',y,LH,,,,
txt_act_capa,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""><span style=""font-weight: normal;""> Describe which</span> immediate corrective action(s) has/have been taken to mitigate the incident<span style=""font-weight: normal;"">, and</span> by whom<span style=""font-weight: normal;""> the action was taken (PI, study coordinator, study nurse, etc.). >. Apply the ""5 Why's"" technique to determine the ultimate reason why the incident occurred.</span></div></div>",,,,,,,[db_log] = '2',,,,,,
act_capa,deviation_serious_breach_log_capa,,notes,Immediate action(s),,,,,,,[db_log] = '2',y,LH,,,,
cor_capa,deviation_serious_breach_log_capa,,notes,Corrective action(s),,,,,,,[db_log] = '2',y,LH,,,,
txt_prev_capa,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""><span style=""font-weight: normal;""> Describe which </span>preventive action(s) has/have been taken to address the root cause of the incident and to ensure the incident can not repeat itself in the future<span style=""font-weight: normal;""> (e.g. adequately train or re-train the staff, develop a policy, develop or adjust procedures, etc.). Indicate a timeframe for each action. </span></div></div>",,,,,,,[db_log] = '2',,,,,,
prev_capa,deviation_serious_breach_log_capa,,notes,Preventive action(s),,,,,,,[db_log] = '2',y,LH,,,,
exp_date_capa,deviation_serious_breach_log_capa,,text,Expected date of CAPA completion of (the entire) CAPA plan,,(dd-mm-yyyy),date_dmy,,,,[db_log] = '2',y,LH,,,,
txt_rag_capa,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffffe0;""><span style=""text-decoration: underline;"">RAG RATING:</span></div> <div style=""background-color: #ffffe0;"">Indicate RAG rating of CAPA and update RAG RATING as the implementation of the CAPA plan progresses:</div> <div style=""background-color: #ffffe0;""><strong><span style=""color: #e03e2d;"">R for RED = Action not started</span></strong></div> <div style=""background-color: #ffffe0;""><span style=""color: #e67e23;""><strong>A for Amber = Action in progress</strong></span></div> <div style=""background-color: #ffffe0;""><span style=""color: #2dc26b;""><strong>G for green = Action completed</strong></span></div> <div style=""background-color: #ffffe0;""> </div></div>",,,,,,,[db_log] = '2',,,,,,
rag_capa,deviation_serious_breach_log_capa,,radio,RAG rating,"1, R (Action not started) | 2, A (Action in progress) | 3, G (Action completed)",,,,,,[db_log] = '2',y,LV,,,,
signature_txt_dslog,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><h6 style=""background-color: #ffffe0;""><span style=""color: #000000; font-weight: normal;""> It is the responsibility of the Principal Investigator to <strong>validate </strong>the above entered information by ticking the box below.</span></h6></div>",,,,,,,,,,,,,
log_txt_dblog,deviation_serious_breach_log_capa,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""1""> <tbody> <tr> <td style=""width: 98.3223%;""> <p>{txt_signed_dslog}<br />By ticking this checkbox, your credentials are logged in the audit trail.</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,"@IF([user-role-label] = 'Principal Investigator' , '', @READONLY)"
txt_signed_dslog,deviation_serious_breach_log_capa,,checkbox,,"1, By ticking this box the Principal Investigator certifies his review and approval.",,,,,,,y,LH,,,,"@IF([user-role-label] = 'Principal Investigator' , '', @READONLY)"
date_sign_dslog,deviation_serious_breach_log_capa,,text,Date Investigator's (PI) signature signed,,(dd-mm-yyyy),date_dmy,,,,,y,LH,,,,"@IF([user-role-label] = 'Principal Investigator' , '', @READONLY)"
eos_version_txt,end_of_trial,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
eos_finaldate,end_of_trial,END OF TRIAL,text,Date End of Trial study visit,,,date_dmy,,,,,y,,,,,
eos_primrea,end_of_trial,,radio,Primary reason for trial participation termination,"1, Subject completed study as per protocol | 2, Physician decision | 3, Subject decision (withdrew consent) | 4, Lost contact with subject | 5, Adverse Event | 6, Death | 7, Major protocol deviation | 8, Other",,,,,,,y,,,,,
oes_deathdate,end_of_trial,,text,Date of death,,Please ensure to update Adverse Event page,date_dmy,,,,[eos_primrea] = '6',y,,,,,
eos_primrea_death,end_of_trial,,notes,"If ""Other"" reason for trial participation termination, please specify",,,,,,,[eos_primrea] = '8',y,,,,,
e01_skelet,e01_screening,eCRF 01 Screening voor toestemming,descriptive,"<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 01. beide armen.<br>Dit formulier draagt ook de <b>uitkomst van de screening</b>: geschikt, niet geschikt met reden, of screenfalen om een andere reden. Die velden horen hier en niet in eligibility, want dat formulier begint met de toestemming en die komt pas na de screening.",,,,,,,,,,,,,
e01_datum,e01_screening,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e01_door,e01_screening,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e07_skelet,e07_med_voorgeschiedenis,eCRF 07 Medische voorgeschiedenis,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 07. beide armen.,,,,,,,,,,,,,
e07_datum,e07_med_voorgeschiedenis,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e07_door,e07_med_voorgeschiedenis,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e08_skelet,e08_voet_schoeisel,eCRF 08 Screening voet en schoeisel,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 08. beide armen.,,,,,,,,,,,,,
e08_datum,e08_voet_schoeisel,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e08_door,e08_voet_schoeisel,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e09_skelet,e09_drukmeting_baseline,"eCRF 09 Drukmeting baseline, in-shoe zonder CMFO",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 09. beide armen.,,,,,,,,,,,,,
e09_datum,e09_drukmeting_baseline,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e09_door,e09_drukmeting_baseline,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e10_skelet,e10_voorschrift_cmfo,eCRF 10 Voorschrift CMFO,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 10. beide armen.,,,,,,,,,,,,,
e10_datum,e10_voorschrift_cmfo,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e10_door,e10_voorschrift_cmfo,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e12_datum,e12_vas_tevredenheid,,text,Datum van afname,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,y,,,,,
e12_vas,e12_vas_tevredenheid,Tevredenheid over ulcuspreventie (VAS),text,"Op een schaal van 0 tot 10, hoe tevreden bent u in het algemeen met de zorg die u tot nu toe hebt ontvangen?",,"0 = helemaal niet tevreden, 10 = uiterst tevreden",integer,0,10,,,y,,,,,
e12_door,e12_vas_tevredenheid,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
